dbn,locationname,N/A,aca_p_13,com_p_13,eng_p_13,saf_p_13,p_q1a,p_q1b,p_q1c,p_q1d,p_q1e,p_q1f,p_q1g,p_q1h,p_q1i,p_q1j,p_q1k,p_q1l,p_q1m,p_q1n,p_q1o,p_q1p,p_q1q,p_q1r,p_q2a,p_q2b,p_q2c,p_q2d,p_q2e,p_q2f,p_q2g,p_q2h,p_q2i,p_q2j,p_q3a,p_q3b,p_q4a,p_q4b,p_q4c,p_q4d,p_q5a,p_q5b,p_q5c,p_q7a,p_q7b,p_q7c,p_q7d,p_q7e,p_q7f,p_q7g,p_q7h,p_q7i,p_q7j,p_q8,p_q9,p_q10a,p_q10b,,,
20K200,P.S. 200 Benson School,ES,7.7,8.1,7.7,8.2,8.4,8.2,7.7,8.3,8.5,8.3,8.0,8.2,7.5,7.9,8.0,8.0,7.8,7.9,8.0,7.5,7.4,8.2,8.4,8.1,8.1,8.0,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,5.9,Not Scored,8.0,7.9,8.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.2,7.3,7.2,,,
20K201,J.H.S. 201 The Dyker Heights,MS,7.7,7.8,7.3,7.9,8.0,7.4,7.4,8.1,8.2,7.8,7.6,7.8,7.2,7.9,7.9,7.8,7.6,7.7,7.9,7.5,7.2,7.9,8.3,7.8,7.9,7.7,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,4.4,Not Scored,7.8,7.9,7.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.7,7.7,7.2,,,
20K204,P.S. 204 Vince Lombardi,ES,8.2,8.5,8.0,8.6,8.7,8.6,7.9,8.6,8.8,8.5,8.4,8.6,7.9,8.5,8.5,8.5,8.2,8.5,8.4,8.1,7.8,8.7,8.8,8.5,8.5,8.4,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,5.6,Not Scored,8.4,8.4,8.6,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.0,8.2,7.4,,,
20K205,P.S. 205 Clarion,ES,8.1,8.3,7.9,8.3,8.6,8.4,8.2,8.3,8.5,8.3,8.1,8.3,7.9,8.1,8.3,8.2,8.0,8.0,8.2,7.8,7.7,8.3,8.5,8.2,8.3,8.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.2,Not Scored,8.1,8.2,8.4,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.0,8.0,8.1,,,
20K220,J.H.S. 220 John J. Pershing,MS,8.0,8.1,7.5,7.8,8.4,7.8,8.1,8.0,8.3,8.0,7.8,8.0,7.9,8.0,8.2,8.0,7.9,8.0,8.1,7.8,7.7,7.7,8.0,7.9,7.8,7.5,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,4.5,Not Scored,8.0,7.9,7.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.5,8.0,7.9,,,
20K223,J.H.S. 223 The Montauk,MS,8.0,8.0,7.5,8.1,8.3,7.9,7.9,8.3,8.2,7.9,8.0,8.2,8.0,8.1,8.2,8.2,8.0,8.0,8.2,7.9,7.7,8.1,8.4,8.0,7.9,7.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,3.6,Not Scored,7.9,7.9,8.0,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.2,7.5,7.5,,,
20K227,J.H.S. 227 Edward B. Shallow,MS,7.7,7.6,6.9,7.8,7.9,7.4,7.4,7.7,7.6,7.5,7.3,7.6,7.3,7.5,7.9,7.6,7.5,7.6,7.7,7.5,7.1,7.6,7.9,7.8,7.8,7.7,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,3.2,Not Scored,7.5,7.5,7.6,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.1,8.2,7.7,,,
20K229,P.S. 229 Dyker,ES/MS,8.1,8.2,7.7,8.5,8.3,8.2,8.1,8.4,8.4,8.1,8.2,8.2,7.7,8.2,8.3,8.2,8.0,8.0,8.2,7.8,7.6,8.6,8.7,8.3,8.3,8.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,5.1,Not Scored,8.2,8.2,8.3,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.2,8.2,7.8,,,
20K247,P.S. 247 Brooklyn,ES,8.4,8.6,8.0,8.6,8.7,8.7,8.4,8.6,8.6,8.0,8.4,8.5,8.0,8.6,8.6,8.4,8.4,8.4,8.5,8.1,7.9,8.8,8.9,8.4,8.3,8.3,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.2,Not Scored,8.5,8.5,8.6,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.3,8.8,8.1,,,
20K259,J.H.S. 259 William Mckinley,MS,8.2,8.2,7.7,8.3,8.4,7.9,8.2,8.3,8.3,8.2,8.1,8.4,8.3,8.3,8.3,8.3,8.4,8.2,8.5,8.0,7.8,8.2,8.5,8.3,8.4,8.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,4.3,Not Scored,8.1,8.2,8.4,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.1,8.2,7.5,,,
20K264,P.S. 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS,ECC,8.2,8.5,8.3,8.9,8.5,8.4,8.3,8.9,8.8,8.6,8.3,8.6,8.3,8.4,8.3,8.3,8.3,8.4,8.4,8.0,7.9,9.1,9.0,8.9,8.8,8.7,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.5,Not Scored,8.6,8.7,8.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.6,8.1,7.5,,,
20K310,P.S. 310,ECC,8.5,8.8,8.3,8.8,8.9,8.9,8.7,8.8,9.1,8.8,8.7,8.9,8.7,8.6,8.8,8.6,8.6,8.5,8.6,8.3,8.2,8.9,9.2,8.7,8.4,8.4,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,5.6,Not Scored,8.4,8.3,8.7,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.3,8.7,7.9,,,
20K445,New Utrecht High School,HS,7.7,7.5,7.0,7.4,7.7,7.0,7.3,7.7,8.0,7.6,7.4,7.7,7.7,7.7,7.7,7.8,7.7,7.7,7.8,7.6,7.2,7.1,7.8,7.6,7.9,7.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,2.8,Not Scored,7.6,7.7,7.6,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.7,7.6,7.4,,,
20K485,High School of Telecommunication Arts and Technology,HS,8.5,8.5,7.9,8.4,8.8,8.0,8.5,8.6,8.6,8.1,8.3,8.6,8.2,8.5,8.5,8.5,8.7,8.4,8.6,8.6,8.3,8.5,8.6,8.3,8.4,8.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,4.6,Not Scored,8.5,8.3,8.6,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.3,8.3,8.1,,,
20K490,Fort Hamilton High School,HS,7.7,7.5,7.2,7.4,7.9,7.2,7.4,7.7,7.9,7.5,7.3,7.7,7.9,7.7,7.7,7.6,7.6,7.5,7.9,7.6,7.3,7.2,7.9,7.7,7.9,7.0,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,4.1,Not Scored,7.4,7.7,7.6,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.1,8.0,7.6,,,
20K503,PS 503: The School of Discovery,ES,8.6,8.8,8.5,8.6,9.0,8.9,8.6,8.9,9.0,8.8,8.6,8.7,8.5,8.7,8.8,8.7,8.7,8.7,8.7,8.4,8.3,8.6,8.8,8.6,8.5,8.4,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.5,Not Scored,8.6,8.6,8.7,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.4,8.5,8.0,,,
20K505,Franklin Delano Roosevelt High School,HS,7.7,7.6,7.2,7.5,7.8,7.2,7.7,7.8,8.0,7.6,7.5,7.7,7.7,7.7,7.8,7.8,7.8,7.6,7.9,7.7,7.5,7.3,7.8,7.7,7.8,7.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,3.6,Not Scored,7.4,7.5,7.5,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.8,7.9,7.8,,,
20K506,P.S. 506: The School of Journalism & Technology,ES,8.5,8.5,8.0,8.4,8.7,8.6,8.4,8.5,8.5,8.3,8.2,8.3,8.3,8.3,8.4,8.5,8.4,8.3,8.4,8.1,8.0,8.5,8.7,8.3,8.2,8.0,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,5.9,Not Scored,8.4,8.3,8.5,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.8,8.8,8.8,,,
20K609,Urban Assembly School for Criminal Justice,MS/HS,8.1,8.1,7.7,7.6,8.7,7.4,8.1,8.7,8.3,8.4,7.9,8.2,7.6,8.5,8.1,7.8,8.1,7.9,8.2,8.2,7.9,7.0,8.2,7.6,7.7,7.5,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,5.6,Not Scored,8.5,8.2,7.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.5,7.9,8.8,,,
20K658,Franklin Delano Roosevelt YABC,YABC,8.1,7.6,7.0,8.0,7.2,6.9,6.9,7.9,8.4,7.4,7.5,7.7,7.5,8.1,8.3,8.1,7.7,8.3,7.8,8.0,7.8,7.8,8.3,7.9,7.7,7.9,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,2.7,Not Scored,7.8,8.1,8.1,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.3,8.3,8.3,,,
20K682,THE ACADEMY OF TALENTED SCHOLARS,ES,9.0,9.2,9.0,9.3,9.2,9.2,9.1,9.3,9.3,8.8,9.0,9.3,9.3,9.1,9.0,9.0,9.0,8.9,9.0,8.5,8.5,9.5,9.4,9.2,9.3,9.3,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.4,Not Scored,9.2,9.0,9.4,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,9.1,9.0,8.8,,,
20K686,BROOKLYN SCHOOL OF INQUIRY,ES,8.5,8.6,8.8,9.3,8.3,8.3,8.6,9.2,9.5,8.6,8.7,9.3,9.2,9.0,8.6,8.9,8.5,8.4,8.7,8.4,7.8,9.6,9.2,9.2,9.4,9.3,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.1,Not Scored,8.8,8.8,9.0,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.5,8.3,7.8,,,
20K748,P.S. 748 BROOKLYN SCHOOL FOR GLOBAL SCHOLARS,ECC,8.2,8.6,8.4,8.6,8.9,9.0,8.3,8.7,8.9,8.4,8.3,8.8,8.5,8.5,8.5,8.4,8.0,8.2,8.6,8.0,7.7,8.5,8.9,8.7,8.7,8.5,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.2,Not Scored,8.5,8.4,8.6,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.8,7.8,7.7,,,
20K971,P.S. 971,ECC,8.4,8.8,8.4,8.8,9.0,8.9,8.8,9.0,9.0,8.9,8.5,8.7,8.5,8.4,8.5,8.6,8.4,8.6,8.5,8.2,8.0,8.9,8.9,8.6,8.6,8.7,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.2,Not Scored,8.6,8.5,8.6,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.4,8.5,8.2,,,
21K090,P.S. 90 Edna Cohen School,ES,8.3,8.5,8.1,8.2,8.7,8.5,8.4,8.5,8.6,8.1,8.1,8.5,8.2,8.4,8.5,8.3,8.3,8.4,8.4,8.2,8.0,8.4,8.4,8.2,8.3,7.9,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.8,Not Scored,8.3,8.4,8.4,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.1,8.1,7.6,,,
21K095,P.S. 095 The Gravesend,ES/MS,8.1,8.4,8.0,8.3,8.6,8.4,8.6,8.4,8.7,8.3,8.0,8.2,8.1,8.2,8.2,8.2,8.0,7.9,8.1,7.7,7.6,8.2,8.7,8.3,8.3,8.1,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.0,Not Scored,8.0,8.0,8.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.3,8.3,8.3,,,
21K096,I.S. 096 Seth Low,MS,7.9,7.9,7.5,7.9,8.2,7.5,8.0,8.1,8.0,7.7,7.6,7.9,7.9,7.9,7.9,8.0,7.9,7.8,8.0,7.8,7.6,7.8,8.1,8.1,8.0,7.7,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,5.1,Not Scored,7.8,7.7,7.7,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.1,8.0,7.8,,,
21K097,P.S. 97 The Highlawn,ES,8.4,8.5,8.1,8.5,8.8,8.6,8.3,8.6,8.6,8.5,8.4,8.5,8.2,8.4,8.6,8.5,8.4,8.4,8.5,8.1,8.0,8.6,8.8,8.4,8.4,8.3,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,5.9,Not Scored,8.4,8.3,8.5,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.5,8.6,8.4,,,
21K098,I.S. 98 Bay Academy,MS,8.2,8.3,7.7,8.3,8.9,8.0,8.2,8.5,8.6,8.2,8.0,8.2,8.1,8.4,8.3,8.1,8.0,8.1,8.4,7.9,7.4,8.2,8.7,8.4,8.4,7.9,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,5.0,Not Scored,8.1,8.2,8.1,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.5,8.3,7.8,,,
21K099,P.S. 099 Isaac Asimov,ES/MS,8.0,8.0,7.3,8.0,8.2,8.0,7.7,8.2,8.0,7.9,7.7,7.9,7.3,8.1,8.1,8.0,7.7,7.9,8.0,7.7,7.3,8.0,8.3,7.9,8.2,7.9,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,4.0,Not Scored,8.1,8.0,8.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.4,8.1,7.9,,,
21K100,P.S. 100 The Coney Island School,ES,8.0,8.1,7.8,8.2,8.3,7.9,7.9,8.0,8.7,8.1,7.7,8.1,7.5,8.1,8.1,7.9,7.6,7.8,8.0,7.7,7.6,8.3,8.4,8.1,8.2,7.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.1,Not Scored,8.1,8.0,8.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.1,7.9,7.9,,,
21K101,P.S. 101 The Verrazano,ES,8.5,8.6,8.2,8.6,8.7,8.6,8.4,8.7,8.7,8.4,8.4,8.6,8.5,8.5,8.6,8.5,8.4,8.4,8.5,8.2,8.2,8.7,8.9,8.5,8.5,8.4,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.2,Not Scored,8.6,8.5,8.6,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.8,8.9,8.5,,,
21K121,P.S. 121 Nelson A. Rockefeller,ES/MS,8.6,8.7,8.2,8.8,8.9,8.7,8.3,8.9,8.9,8.5,8.5,8.7,7.8,8.5,8.6,8.6,8.5,8.5,8.7,8.2,8.0,8.8,8.9,8.5,8.6,8.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.7,Not Scored,8.9,8.6,8.7,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.9,9.1,8.7,,,
21K128,P.S. 128 Bensonhurst,ES,8.0,8.4,8.0,8.4,8.6,8.5,8.3,8.5,8.6,8.3,8.3,8.5,7.8,8.1,8.3,8.4,8.0,8.1,8.1,7.9,7.9,8.4,8.7,8.1,8.2,8.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.2,Not Scored,8.3,8.3,8.4,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.9,7.7,7.3,,,
21K153,P.S. 153 Homecrest,ES,8.1,8.3,8.0,8.3,8.5,8.4,8.1,8.4,8.5,8.4,8.1,8.3,7.9,8.1,8.3,8.1,8.0,8.1,8.2,7.7,7.7,8.3,8.7,8.2,8.2,8.1,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.0,Not Scored,8.2,8.0,8.3,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.1,8.3,8.0,,,
21K177,P.S. 177 The Marlboro,ES,8.4,8.4,7.9,8.5,8.7,8.6,8.0,8.6,8.5,8.4,8.2,8.5,8.0,8.3,8.5,8.4,8.2,8.4,8.4,7.9,7.8,8.7,8.7,8.3,8.2,8.3,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,5.6,Not Scored,8.4,8.4,8.6,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.6,8.5,8.1,,,
21K188,P.S. 188 Michael E. Berdy,ES,8.2,8.5,8.2,8.5,8.8,8.6,8.4,8.7,8.6,8.4,8.4,8.6,8.2,8.4,8.6,8.6,8.4,8.4,8.4,8.1,8.1,8.6,8.7,8.6,8.4,8.1,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.5,Not Scored,8.3,8.3,8.5,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.0,8.0,7.5,,,
21K199,P.S. 199 Frederick Wachtel,ES,8.0,8.4,8.0,8.6,8.5,8.4,8.5,8.4,8.5,8.2,8.3,8.4,8.1,8.2,8.3,8.2,7.9,7.9,8.2,7.7,7.7,8.5,8.9,8.6,8.5,8.5,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.7,Not Scored,8.4,8.2,8.5,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.8,7.9,7.4,,,
21K209,P.S. 209 Margaret Mead,ES/MS,8.6,8.7,8.4,8.8,8.9,8.7,8.6,9.0,8.8,8.7,8.6,8.9,8.5,8.7,8.8,8.7,8.6,8.7,8.6,8.4,8.5,8.9,9.0,8.7,8.8,8.7,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.6,Not Scored,8.6,8.6,8.9,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.5,8.7,8.2,,,
21K212,P.S. 212 Lady Deborah Moody,ES,7.9,8.2,7.7,8.2,8.5,8.4,8.1,8.1,8.3,7.9,7.9,8.1,7.7,8.1,8.1,8.0,7.8,7.9,8.0,7.2,7.1,8.3,8.5,8.1,8.2,7.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.3,Not Scored,7.9,7.9,8.3,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.8,8.0,7.6,,,
21K215,P.S. 215 Morris H. Weiss,ES,7.6,7.9,7.5,8.1,8.2,8.0,7.9,7.6,7.9,7.7,7.5,7.9,7.3,7.7,7.8,7.7,7.4,7.6,7.6,7.3,7.0,8.1,8.5,8.1,8.0,7.7,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.0,Not Scored,7.7,7.8,7.9,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.5,7.5,7.1,,,
21K216,P.S. 216 Arturo Toscanini,ES,8.5,8.8,8.4,8.8,8.9,8.8,8.7,8.7,8.9,8.6,8.5,8.9,8.7,8.7,8.6,8.7,8.6,8.6,8.8,8.4,8.2,9.0,9.0,8.7,8.7,8.6,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.5,Not Scored,8.6,8.7,8.9,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.4,8.0,8.1,,,
21K225,P.S. K225 - The Eileen E. Zaglin,ES/MS,8.2,8.3,7.8,8.3,8.5,8.3,8.0,8.4,8.6,8.4,8.2,8.4,8.0,8.2,8.4,8.3,8.2,8.3,8.4,8.1,7.9,8.2,8.4,8.3,8.3,8.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,5.2,Not Scored,8.2,8.1,8.4,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.2,8.3,7.9,,,
21K226,P.S. 226 Alfred De B.Mason,ES/MS,8.5,8.6,8.2,8.6,8.8,8.8,8.5,8.9,8.8,8.6,8.4,8.7,8.4,8.5,8.6,8.5,8.4,8.3,8.5,8.3,8.1,8.6,8.8,8.5,8.5,8.4,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.2,Not Scored,8.6,8.6,8.6,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.5,8.9,8.2,,,
21K228,I.S. 228 David A. Boody,MS,9.0,9.0,8.8,9.1,9.1,8.8,9.1,9.2,9.1,9.0,8.9,9.1,9.1,9.1,9.0,9.0,9.0,9.0,9.1,9.0,8.8,9.2,9.2,9.0,9.2,8.9,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.5,Not Scored,9.0,9.1,9.1,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.9,9.0,8.8,,,
21K238,P.S. 238 Anne Sullivan,ES/MS,8.1,8.3,7.9,8.3,8.5,8.3,8.2,8.3,8.4,8.2,8.2,8.3,8.0,8.1,8.2,8.2,8.1,8.2,8.3,7.9,7.9,8.3,8.5,8.2,8.4,8.3,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.1,Not Scored,8.3,8.2,8.3,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.9,8.0,7.5,,,
