dbn,locationname,N/A,aca_p_13,com_p_13,eng_p_13,saf_p_13,p_q1a,p_q1b,p_q1c,p_q1d,p_q1e,p_q1f,p_q1g,p_q1h,p_q1i,p_q1j,p_q1k,p_q1l,p_q1m,p_q1n,p_q1o,p_q1p,p_q1q,p_q1r,p_q2a,p_q2b,p_q2c,p_q2d,p_q2e,p_q2f,p_q2g,p_q2h,p_q2i,p_q2j,p_q3a,p_q3b,p_q4a,p_q4b,p_q4c,p_q4d,p_q5a,p_q5b,p_q5c,p_q7a,p_q7b,p_q7c,p_q7d,p_q7e,p_q7f,p_q7g,p_q7h,p_q7i,p_q7j,p_q8,p_q9,p_q10a,p_q10b,,,
01M364,Earth School,ES,8.8,9.2,8.9,9.1,9.2,9.2,9.0,9.5,9.6,8.6,9.1,9.5,8.4,8.5,8.8,9.0,8.9,8.8,8.8,8.2,8.0,8.8,9.3,9.3,9.2,9.0,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,9.2,Not Scored,9.1,8.9,9.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,9.0,9.3,8.7,,,
01M378,School for Global Leaders,MS,9.3,9.0,9.0,9.2,8.9,8.7,8.9,9.1,8.9,8.9,8.9,9.3,9.2,9.4,9.3,9.4,9.4,9.4,9.3,9.3,9.1,9.3,9.2,9.2,9.2,9.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.2,Not Scored,9.3,9.5,9.5,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,9.3,9.2,9.0,,,
01M448,University Neighborhood High School,HS,8.1,8.0,7.5,8.3,8.1,7.4,7.9,8.2,8.4,8.0,7.8,8.0,7.6,8.0,8.0,8.1,8.3,8.0,8.1,8.0,7.8,8.1,8.4,8.3,8.2,8.1,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,4.3,Not Scored,8.1,7.8,7.9,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.3,8.6,8.3,,,
01M450,East Side Community School,MS/HS,8.9,9.1,8.8,9.0,9.3,8.9,9.1,9.3,9.4,8.8,9.0,9.1,9.1,9.2,9.1,9.1,9.2,9.0,9.1,9.0,8.8,9.0,9.0,9.1,8.7,8.9,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.8,Not Scored,9.1,9.1,9.0,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.4,8.4,8.3,,,
01M458,Forsyth Satellite Academy,HST,8.3,8.0,7.9,8.2,8.1,7.7,6.5,8.5,8.7,8.4,8.0,8.9,7.7,8.7,8.6,8.5,8.0,8.4,8.3,8.0,8.3,8.1,8.6,8.3,7.8,8.1,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,5.8,Not Scored,8.8,8.4,8.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.3,8.0,7.9,,,
01M509,Marta Valle High School,HS,8.1,8.3,8.1,8.2,8.2,8.0,8.3,8.7,8.7,8.2,8.2,8.6,8.0,8.3,8.2,8.5,8.6,8.2,7.8,7.7,8.0,8.4,8.1,8.3,8.6,8.0,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.6,Not Scored,8.3,8.1,8.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.8,7.9,6.7,,,
01M515,Lower East Side Preparatory High School,HST,8.3,8.4,8.0,8.5,8.4,8.2,8.3,8.4,8.8,8.6,8.2,8.4,8.3,8.4,8.4,8.4,8.3,8.3,8.4,8.5,8.4,8.6,8.9,8.5,8.6,8.0,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,5.1,Not Scored,8.2,8.3,8.1,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,N/A,N/A,N/A,,,
01M539,"New Explorations into Science, Technology and Math High School",ES/MS/HS,8.4,8.4,8.0,8.4,8.6,8.1,8.3,7.9,9.0,7.8,7.3,8.9,8.6,9.1,8.6,8.6,8.2,8.2,8.8,8.4,7.8,8.4,8.8,8.5,8.2,8.1,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.4,Not Scored,8.1,8.9,8.9,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.0,8.3,6.8,,,
01M650,Cascades High School,HST,8.9,8.9,8.6,9.1,9.0,8.6,8.4,9.5,9.3,8.8,9.2,9.1,8.7,8.8,9.0,8.9,9.0,8.9,8.8,8.8,8.7,9.0,9.1,9.2,9.0,9.1,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.0,Not Scored,9.2,8.8,9.1,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.3,8.8,9.2,,,
01M696,Bard High School Early College,HS,7.8,8.7,8.8,8.8,8.7,8.0,8.7,9.1,9.5,8.5,8.5,9.3,8.8,9.6,9.2,9.2,9.1,8.9,9.4,9.3,9.1,8.8,8.9,8.9,8.5,8.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.6,Not Scored,8.8,9.2,9.1,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,N/A,N/A,N/A,,,
01M839,Tompkins Square Middle School,MS,8.5,8.7,8.1,8.6,9.1,8.6,8.5,8.9,8.9,8.7,8.3,8.8,8.1,8.5,8.5,8.5,8.4,8.5,8.5,8.0,7.6,8.3,8.9,8.8,8.7,8.5,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,5.7,Not Scored,8.5,8.5,8.6,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.9,8.7,8.5,,,
02M001,P.S. 001 Alfred E. Smith,ES,8.0,8.3,7.6,8.1,8.4,8.3,8.1,8.3,8.6,8.1,8.0,8.2,7.9,8.0,8.3,8.1,7.9,8.0,8.0,7.7,7.6,8.0,8.3,8.1,8.1,8.1,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,5.0,Not Scored,8.2,8.0,8.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.6,8.0,7.6,,,
02M002,P.S. 002 Meyer London,ES,8.1,8.4,7.7,8.3,8.5,8.4,8.4,8.3,8.7,8.2,8.1,8.4,8.2,8.2,8.5,8.3,8.2,8.2,8.3,8.0,8.0,8.6,8.7,8.0,8.0,8.0,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,4.7,Not Scored,8.0,8.1,8.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.7,8.0,7.6,,,
02M003,P.S. 003 Charrette School,ES,8.6,9.0,8.9,8.8,9.1,9.1,8.4,9.5,9.6,9.0,8.7,9.5,8.9,8.9,8.9,9.0,8.7,8.9,8.9,8.4,8.0,8.3,8.9,9.2,8.8,8.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.8,Not Scored,8.9,9.0,9.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.6,8.1,7.5,,,
02M006,P.S. 006 Lillie D. Blake,ES,9.0,8.9,8.8,8.9,9.0,8.7,8.9,8.7,9.5,8.8,8.5,9.3,8.9,9.1,9.0,9.0,8.8,8.9,9.1,8.4,8.0,8.9,9.0,8.9,9.0,8.7,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,9.1,Not Scored,8.5,9.1,9.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.8,9.2,8.9,,,
02M011,P.S. 011 William T. Harris,ES,8.6,8.9,8.8,8.9,8.9,8.8,8.7,9.0,9.4,8.6,8.7,9.2,9.1,8.9,8.6,8.8,8.6,8.5,9.0,8.2,7.7,9.0,8.8,8.9,9.0,8.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,9.1,Not Scored,8.8,8.9,8.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.3,8.4,7.8,,,
02M033,P.S. 033 Chelsea Prep,ES,8.9,9.1,9.0,9.0,9.3,9.3,8.8,9.1,9.5,8.9,8.8,9.4,9.0,9.3,9.3,9.2,9.0,9.1,9.3,9.2,9.0,8.8,9.2,9.2,9.2,8.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.8,Not Scored,8.7,9.2,9.3,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.9,8.1,8.0,,,
02M040,P.S. 040 Augustus Saint-Gaudens,ES,7.7,8.5,8.4,8.6,8.6,8.4,8.3,8.8,9.4,8.8,7.7,8.9,8.1,8.3,8.1,8.2,7.9,7.9,8.4,7.8,7.3,8.5,8.8,9.0,8.5,8.1,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.8,Not Scored,8.2,8.0,8.7,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,5.7,7.3,6.4,,,
02M041,P.S. 041 Greenwich Village,ES,8.9,9.1,8.8,9.2,9.2,9.1,8.9,8.9,9.6,8.6,8.7,9.5,9.0,9.0,9.0,8.9,9.0,8.8,9.1,8.3,7.8,9.2,9.3,9.2,8.9,9.0,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,9.1,Not Scored,9.0,9.0,9.3,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.6,9.0,8.2,,,
02M042,P.S. 042 Benjamin Altman,ES,8.0,8.3,7.7,8.3,8.4,8.3,8.1,8.4,8.6,8.2,8.0,8.3,8.2,8.1,8.3,8.2,8.1,8.1,8.2,7.9,7.7,8.3,8.6,8.2,8.0,7.9,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,5.0,Not Scored,8.1,8.1,8.3,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.2,7.8,7.1,,,
02M047,47 The American Sign Language and English Secondary School,HS,8.6,8.8,8.1,8.7,8.8,8.4,8.4,9.1,9.3,8.6,8.6,8.4,8.5,8.9,8.8,8.8,8.9,8.7,8.8,8.5,8.0,8.7,9.0,8.7,8.8,8.5,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,4.8,Not Scored,9.0,8.8,8.7,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.8,8.1,8.3,,,
02M051,P.S. 051 Elias Howe,ES,8.5,8.7,8.4,8.8,8.8,8.6,8.6,8.9,8.7,8.2,8.4,8.6,8.3,8.5,8.6,8.5,8.4,8.4,8.4,8.1,7.9,8.9,8.9,8.8,8.9,8.5,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.8,Not Scored,8.8,8.5,8.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.9,8.9,8.3,,,
02M059,P.S. 059 Beekman Hill International,ES,8.5,8.7,8.6,8.9,8.7,8.6,8.6,8.9,9.3,8.2,8.2,9.1,8.6,8.5,8.6,8.6,8.6,8.4,8.7,7.9,7.4,9.2,8.8,8.8,9.1,8.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,9.0,Not Scored,8.6,8.5,8.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.3,8.7,8.4,,,
02M077,P.S. 77 Lower Lab School,ES,8.6,8.7,8.6,8.5,8.6,8.3,8.6,8.6,9.4,8.7,8.3,9.2,8.7,8.9,8.7,8.7,8.4,8.5,8.9,8.5,7.7,8.1,8.6,8.7,8.5,8.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.8,Not Scored,8.8,8.9,9.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.5,8.5,7.6,,,
