dbn,X..of.SAT.Takers.in.2014,Avg.SAT.Critical.Reading.Score.in.2014,Avg.SAT.Math.Scores.in.2014,Avg.SAT.Writing.Scores.in.2014,school_name,grade_span_min,grade_span_max,zip,total_students,school_type,advancedplacement_courses,online_ap_courses,start_time,end_time
02M600,295,416,410,408,The High School of Fashion Industries,9,12,10011,1732,CTE School,Biology; Calculus AB; English Literature and Composition; Spanish Language and Culture; United States History,,8:00 AM,3:45 PM
02M605,54,403,395,387,Humanities Preparatory Academy,9,12,10011,210,Consortium School,,,9:00 AM,3:15 PM
02M615,70,388,390,380,Chelsea Career and Technical Education High School,9,12,10013,443,CTE School,Calculus AB; English Literature and Composition; Physics C: Mechanics; Spanish Language and Culture; United States Government and Politics; United States History,,8:30 AM,4:00 PM
02M620,25,362,393,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02M625,134,402,384,391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02M630,203,457,444,437,Art and Design High School,9,12,10019,1438,CTE School,Art History; Biology; Calculus AB; Chemistry; English Language and Composition; English Literature and Composition; Spanish Language and Culture; Studio Art: 2-D Design; Studio Art: Drawing; United States History; World History,,8:30 AM,4:00 PM
02M655,92,419,425,402,Life Sciences Secondary School,6,12,10128,771,,Biology; Calculus AB; English Language and Composition; Environmental Science; Spanish Language and Culture; World History,,8:00 AM,3:00 PM
03M283,25,427,390,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03M299,41,382,369,369,High School for Arts; Imagination and Inquiry,9,12,10023,435,,United States History,,8:45 AM,3:26 PM
03M307,35,394,403,387,Urban Assembly School for Media Studies; The,9,12,10023,387,,Calculus AB; Chemistry; English Literature and Composition; United States History; World History,,9:00 AM,3:15 PM
03M402,36,321,341,328,The Urban Assembly School for Green Careers,9,12,10024,395,CTE School,English Literature and Composition,,8:30 AM,3:30 PM
03M403,54,418,388,398,The Global Learning Collaborative,9,12,10024,480,,Biology; Calculus AB; English Literature and Composition; Spanish Literature and Culture,,8:30 AM,3:30 PM
03M415,48,387,394,398,Wadleigh Secondary School for the Performing & Visual Arts,6,12,10026,531,,Calculus AB; English Literature and Composition; Environmental Science; Spanish Literature and Culture; Statistics; United States History; World History,,8:00 AM,3:45 PM
03M479,250,553,556,561,Beacon High School,9,12,10023,1276,Consortium School,Biology; Calculus AB; Chemistry; Physics B; Spanish Language and Culture,,8:00 AM,3:00 PM
03M485,629,576,575,582,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,9,12,10023,2730,Specialized School,Art History; Biology; Calculus AB; Calculus BC; Chemistry; Comparative Government and Politics; English Language and Composition; English Literature and Composition; Environmental Science; European History; French Language and Culture; Italian Language and Culture; Japanese Language and Culture; Music Theory; Physics B; Psychology; Spanish Language and Culture; Statistics; Studio Art: 2-D Design; Studio Art: 3-D Design; Studio Art: Drawing; United States Government and Politics; United States History; World History,,8:00 AM,4:00 PM
03M492,73,395,385,388,High School for Law; Advocacy and Community Justice,9,12,10023,531,,English Literature and Composition; Environmental Science; Psychology; Spanish Language and Culture; United States History; World History,,8:00 AM,2:45 PM
03M494,80,415,394,390,High School of Arts and Technology,9,12,10023,588,,Art History; Biology; Psychology; Studio Art: Drawing; United States History,,8:00 AM,2:45 PM
03M541,118,499,530,489,Manhattan / Hunter Science High School,9,12,10023,460,,,,8:00 AM,2:30 PM
03M860,50,369,330,358,Frederick Douglass Academy II Secondary School,6,12,10026,429,,Calculus AB; English Literature and Composition; Environmental Science; United States History,,8:00 AM,3:00 PM
04M409,37,356,355,362,Coalition School for Social Change,9,12,10035,311,,Biology; English Literature and Composition; United States History,,8:45 AM,3:30 PM
04M435,351,470,527,459,Manhattan Center for Science and Mathematics,9,12,10029,1588,,Biology; Calculus AB; Calculus BC; Chemistry; Chinese Language and Culture; Computer Science A; English Language and Composition; English Literature and Composition; Physics B; Physics C: Electricity and Magnetism; Physics C: Mechanics; Spanish Language and Culture; Spanish Literature and Culture; Statistics; United States History; World History,,8:15 AM,2:40 PM
04M495,69,403,405,403,Park East High School,9,12,10029,409,,Calculus AB; English Language and Composition; Environmental Science; Spanish Language and Culture; United States History; World History,,8:45 AM,3:15 PM
04M555,138,429,442,433,Central Park East High School,9,12,10029,479,,Calculus AB; English Language and Composition; English Literature and Composition; Environmental Science; Microeconomics; Statistics; United States History,,8:30 AM,3:20 PM
04M610,68,437,448,451,Young Women's Leadership School,6,12,10029,464,All-Girls School,English Literature and Composition; Spanish Language and Culture; Spanish Literature and Culture; United States Government and Politics; United States History,,8:45 AM,3:15 PM
04M635,14,394,384,382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04M680,48,360,368,366,Heritage School; The,9,12,10029,351,,Calculus AB; Spanish Literature and Culture; United States Government and Politics,,8:30 AM,3:39 PM
05M285,27,381,392,383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05M304,54,412,385,411,Mott Hall High School,9,12,10030,425,,English Literature and Composition; Spanish Language and Culture; United States History; World History,,8:00 AM,3:30 PM
05M362,90,541,568,533,Columbia Secondary School,6,12,10027,664,,Biology; English Literature and Composition; Spanish Literature and Culture; United States History,,8:00 AM,4:00 PM
05M367,14,373,347,364,Academy for Social Action: A College Board School,9,12,10027,309,,Art History; Calculus AB; English Language and Composition; English Literature and Composition; United States History,,8:35 AM,3:45 PM
05M369,55,383,360,376,Urban Assembly School for the Performing Arts,9,12,10027,354,,,,8:15 AM,3:15 PM
05M469,15,365,347,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05M499,192,441,447,437,Frederick Douglass Academy,6,12,10039,1489,,Biology; Calculus AB; Chemistry; English Language and Composition; English Literature and Composition; European History; French Language and Culture; Latin: Vergil; Physics B; Spanish Language and Culture; Statistics; United States Government and Politics; United States History,,8:00 AM,3:00 PM
05M670,84,403,403,398,Thurgood Marshall Academy for Learning and Social Change,6,12,10030,572,,Biology,,8:30 AM,3:00 PM
05M685,47,363,345,341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05M692,82,613,659,593,High School for Mathematics; Science and Engineering at City College,9,12,10031,456,Specialized School,Calculus AB; Calculus BC; Chemistry; Computer Science A; English Literature and Composition; German Language and Culture; Statistics; World History,,8:00 AM,3:35 PM
06M293,82,427,467,426,City College Academy of the Arts,6,12,10040,593,,,,8:15 AM,4:00 PM
