DBN,school_name,gender,cohort_num
07X381,BRONX HAVEN HIGH SCHOOL,Female,46
07X381,BRONX HAVEN HIGH SCHOOL,Male,25
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,Female,51
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,Male,25
07X473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,Female,39
07X473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,Male,46
07X495,UNIVERSITY HEIGHTS,Female,69
07X495,UNIVERSITY HEIGHTS,Male,41
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,Female,51
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,Male,36
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,Female,58
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,Male,51
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,Female,49
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,Male,60
07X547,NEW EXPLORERS HIGH SCHOOL,Female,31
07X547,NEW EXPLORERS HIGH SCHOOL,Male,51
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,Female,15
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,Male,67
07X551,BRONX ACADEMY OF LETTERS,Female,62
07X551,BRONX ACADEMY OF LETTERS,Male,27
07X600,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,Female,31
07X600,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,Male,233
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,Female,69
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,Male,225
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,Female,106
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,Male,48
08X192,PIAGENTINI-JONES SCHOOL,Male,1
08X282,WOMEN'S ACADEMY OF EXCELLENCE,Female,65
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER AND TE,Female,75
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER AND TE,Male,51
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECH,Female,47
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECH,Male,76
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD ST,Female,44
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD ST,Male,64
08X312,MILLENIUM ART ACADEMY,Female,49
08X312,MILLENIUM ART ACADEMY,Male,66
08X332,HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH,Female,56
08X332,HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH,Male,48
