DBN,school_0me,male,female,male_ratio,female_ratio
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,12,58,0.171428571,0.828571429
09X414,JO0THAN LEVIN HS OF MEDIA AND COMMUNICATIONS,62,70,0.46969697,0.53030303
09X505,BRONX SCHOOL FOR LAW GOVERNMENT AND JUSTICE,35,64,0.353535354,0.646464646
09X517,FREDERICK DOUGLAS ACADEMY III SECONDARY SCHOOL,42,47,0.471910112,0.528089888
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,79,87,0.475903614,0.524096386
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,8,42,0.16,0.84
10X141,RIVERDALE/KINGSBRIDGE ACADEMY (MS/HS 141),79,81,0.49375,0.50625
10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,80,17,0.824742268,0.175257732
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,32,53,0.376470588,0.623529412
10X237,"MARIE CURIE HIGH SCH-NURSING, MEDICINE & APPLIED H",20,59,0.253164557,0.746835443
10X243,WEST BRONX ACADEMY FOR THE FUTURE,49,23,0.680555556,0.319444444
10X268,KINGSBRIDGE INTER0TIO0L HIGH SCHOOL,65,70,0.481481481,0.518518519
10X284,BRONX SCHOOL OF LAW AND FI0NCE,45,53,0.459183673,0.540816327
10X319,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH,38,54,0.413043478,0.586956522
10X342,INTER0TIO0L SCHOOL FOR LIBERAL ARTS,44,55,0.444444444,0.555555556
10X368,IN TECH ACADEMY (MS/HS 368),50,68,0.423728814,0.576271186
10X374,KNOWLEDGE AND POWER PREP ACADEMY INTER0TIO0L HIG,47,67,0.412280702,0.587719298
10X397,ENGLISH LANGUAGE LEARNERS AND INTER0TIO0L SUPPOR,4,5,0.444444444,0.555555556
10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,53,67,0.441666667,0.558333333
10X434,BELMONT PREP HIGH SCHOOL,30,44,0.405405405,0.594594595
10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,18,51,0.260869565,0.739130435
10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS & TECHNOLO,79,50,0.612403101,0.387596899
10X439,BRONX HIGH SCHOOL-LAW AND COMMUNITY SERVICES,41,54,0.431578947,0.568421053
10X440,DEWITT CLINTON HIGH SCHOOL,502,540,0.481765835,0.518234165
10X442,THE CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC,33,52,0.388235294,0.611764706
10X445,BRONX HIGH SCHOOL OF SCIENCE,411,317,0.56456044,0.43543956
10X475,JOHN F KENNEDY HIGH SCHOOL,239,140,0.63060686,0.36939314
10X477,MARBLE HILL HIGH SCHOOL OF INTER0TIO0L STUDIES,44,50,0.468085106,0.531914894
10X546,BRONX THEATRE HIGH SCHOOL,34,71,0.323809524,0.676190476
10X549,DISCOVERY HIGH SCHOOL,69,51,0.575,0.425
10X660,GRACE H DODGE CAREER AND TECHNICAL HIGH SCHOOL,137,215,0.389204545,0.610795455
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,46,38,0.547619048,0.452380952
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,18,40,0.310344828,0.689655172
11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION AR,50,66,0.431034483,0.568965517
11X265,BRONX LAB SCHOOL,47,43,0.522222222,0.477777778
11X270,ACADEMY FOR SCHOLARSHIP AND ENTRENEURSHIP,45,40,0.529411765,0.470588235
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,113,16,0.875968992,0.124031008
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,64,39,0.621359223,0.378640777
11X290,BRONX ACADEMY OF HEALTH CAREERS,27,88,0.234782609,0.765217391
11X299,ASTOR COLLEGIATE ACADEMY,59,58,0.504273504,0.495726496
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,224,173,0.564231738,0.435768262
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,34,25,0.576271186,0.423728814
11X455,HARRY S TRUMAN HIGH SCHOOL,362,256,0.585760518,0.414239482
11X513,NEW WORLD HIGH SCHOOL,25,31,0.446428571,0.553571429
11X514,THE BRONX PREPARATORY ACADEMY,50,18,0.735294118,0.264705882
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,55,48,0.533980583,0.466019417
11X542,PELHAM PREPARATORY ACADEMY,48,58,0.452830189,0.547169811
11X544,HIGH SCHOOL OF CONTEMPORARY ARTS,55,52,0.514018692,0.485981308
11X545,BRONX AEROSPACE HIGH SCHOOL,66,15,0.814814815,0.185185185
12X245,NEW DAY ACADEMY,35,27,0.564516129,0.435483871
12X248,METROPOLITAN HIGH SCHOOL (THE),40,41,0.49382716,0.50617284
12X251,EXPLORATIONS ACADEMY,60,48,0.555555556,0.444444444
12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,33,62,0.347368421,0.652631579
12X267,BRONX LATIN SCHOOL,18,22,0.45,0.55
12X271,EAST BRONX ACADEMY FOR THE FUTURE,46,44,0.511111111,0.488888889
12X278,PEACE AND DIVERSITY ACADEMY,33,37,0.471428571,0.528571429
